Time,evapo temperature,evapo relative humidity,compressor power
0.000000000000000000e+00,1.551833071991340063e+01,4.865394006378829772e+01,4.586142086750840008e+02
2.500000000000009992e-01,1.607573893475089832e+01,5.018973403766050012e+01,6.058110729593370252e+02
5.000000000000009992e-01,1.660178693990290100e+01,4.996385176802679950e+01,6.664245650059369837e+02
7.500000000000019984e-01,1.711920582319390149e+01,4.906659968822420126e+01,6.825577726822730256e+02
1.000000000000000000e+00,1.758071069702180012e+01,4.757626620008029761e+01,6.655700353497560400e+02
1.250000000000000000e+00,1.794749735263989976e+01,4.581013427490950107e+01,6.429017747160099816e+02
1.500000000000000000e+00,1.820957931326499946e+01,4.409909765553459948e+01,6.235864591619570092e+02
1.750000000000000000e+00,1.853742619524890145e+01,4.255411710657089941e+01,6.097750652996270446e+02
2.000000000000000000e+00,1.878813904442520055e+01,4.125926044759930278e+01,6.024271211398439618e+02
2.250000000000000000e+00,1.896990253170089957e+01,4.026134342959689860e+01,6.000562526871119644e+02
2.500000000000000000e+00,1.909910085368230170e+01,3.952539790004990294e+01,6.019083002092470451e+02
2.750000000000010214e+00,1.918834164389830121e+01,3.899993483853359777e+01,6.071531952825299641e+02
3.000000000000010214e+00,1.924719067863010125e+01,3.864146231928800290e+01,6.148162710820760140e+02
3.250000000000010214e+00,1.928290470870129880e+01,3.841366456824309950e+01,6.239456243167840057e+02
3.500000000000010214e+00,1.930096391142560108e+01,3.828667559402320109e+01,6.337057001910039844e+02
3.750000000000010214e+00,1.930549288695100074e+01,3.823634548831410029e+01,6.434193291199400164e+02
4.000000000000009770e+00,1.929958745935109832e+01,3.824350816085200222e+01,6.525772271154679629e+02
4.250000000000009770e+00,1.928556468872680085e+01,3.829326669548090223e+01,6.608282373122440276e+02
4.500000000000009770e+00,1.926515250105079957e+01,3.837431234500299837e+01,6.679593001063260544e+02
4.750000000000009770e+00,1.923963309849330017e+01,3.847829070438650234e+01,6.738710555436759932e+02
5.000000000000009770e+00,1.920995165400620053e+01,3.859922519943920349e+01,6.785528099808260549e+02
5.250000000000009770e+00,1.917679921781979857e+01,3.873300442926480258e+01,6.820590963522729453e+02
5.500000000000009770e+00,1.914067652071850034e+01,3.887693650282120217e+01,6.844890355055449618e+02
5.750000000000009770e+00,1.910194354092960012e+01,3.902937052686949926e+01,6.859690254529209597e+02
6.000000000000020428e+00,1.906085830625080035e+01,3.918938294082000340e+01,6.866388450873090505e+02
6.250000000000020428e+00,1.901760738061500078e+01,3.935652449085460347e+01,6.866409868371290486e+02
6.500000000000020428e+00,1.897232976551769923e+01,3.953062228205070028e+01,6.861128776161009455e+02
6.750000000000020428e+00,1.892622588566180042e+01,3.970689836944060147e+01,6.852679920748309996e+02
7.000000000000020428e+00,1.887931358755150058e+01,3.988566206137989667e+01,6.842136185461439482e+02
7.250000000000020428e+00,1.883055211766199832e+01,4.007174489471879753e+01,6.829582022110030266e+02
7.500000000000020428e+00,1.878004068984860098e+01,4.026494754495160322e+01,6.815845807054159877e+02
7.750000000000020428e+00,1.872788654441540146e+01,4.046495141038879950e+01,6.801603638166329802e+02
8.000000000000019540e+00,1.867420750932900120e+01,4.067131455386650174e+01,6.787390009422499588e+02
8.250000000000019540e+00,1.861913288834060154e+01,4.088347974333689905e+01,6.773612256086839807e+02
8.500000000000019540e+00,1.856280305959829846e+01,4.110079055763709732e+01,6.760566945172330406e+02
8.750000000000019540e+00,1.850536812657560048e+01,4.132251225839640085e+01,6.748456827785270207e+02
