Time,evapo temperature,evapo relative humidity,compressor power
0.000000000000000000e+00,1.548122666490690058e+01,4.609594064265019853e+01,4.459962622479570200e+02
2.500000000000009992e-01,1.601990999472339894e+01,4.478962014459850138e+01,5.796125122986320548e+02
5.000000000000009992e-01,1.651779545270310123e+01,4.162543316564789819e+01,6.216877253839529658e+02
7.500000000000019984e-01,1.697630784874230159e+01,3.803909356302669664e+01,6.175760117049210294e+02
1.000000000000000000e+00,1.750805816450339947e+01,3.469083759374409937e+01,5.864577051644689618e+02
1.250000000000000000e+00,1.824347737684810156e+01,3.167990677921989828e+01,5.491289685432409442e+02
1.500000000000000000e+00,1.883767846001270030e+01,2.915814852635419996e+01,5.135410647950759540e+02
1.750000000000000000e+00,1.928363371568320161e+01,2.743571144755269842e+01,4.954089719938680219e+02
2.000000000000000000e+00,1.961952427070020022e+01,2.609331069825369909e+01,4.812972202460480275e+02
2.250000000000000000e+00,1.986554912970050069e+01,2.506646185899910151e+01,4.716982732433800152e+02
2.500000000000000000e+00,2.003458517188979826e+01,2.431357946605260167e+01,4.668387067420429730e+02
2.750000000000010214e+00,2.013937052536530103e+01,2.379494091354170138e+01,4.663610951076760216e+02
3.000000000000010214e+00,2.019181256146589831e+01,2.347319589701769971e+01,4.695754582498070135e+02
3.250000000000010214e+00,2.020089275914070015e+01,2.331869503722149872e+01,4.757754724681919924e+02
3.500000000000010214e+00,2.017214490602469823e+01,2.331118444488659947e+01,4.843851699260209784e+02
3.750000000000010214e+00,2.010866339098599909e+01,2.344803376706069997e+01,4.953552147270380033e+02
4.000000000000009770e+00,2.001533996976689878e+01,2.371168685166570000e+01,5.082008423426319723e+02
4.250000000000009770e+00,1.988377103935579981e+01,2.409929689562600075e+01,5.437704550404080237e+02
4.500000000000009770e+00,1.973029769670539935e+01,2.458050020765540111e+01,5.912240859331800493e+02
4.750000000000009770e+00,1.955733381732390086e+01,2.510739137802550047e+01,6.486661339806399837e+02
5.000000000000009770e+00,1.937247458676899825e+01,2.565631135216580105e+01,7.142228320084919915e+02
5.250000000000009770e+00,1.918361600613430085e+01,2.622268318667000031e+01,7.858114284324279879e+02
