Time,evapo temperature,evapo relative humidity,compressor power
0.000000000000000000e+00,1.552788362803010003e+01,4.926576997895030274e+01,4.616964520206410043e+02
2.500000000000009992e-01,1.608922362850960042e+01,5.148792153399789839e+01,6.121118459703619692e+02
5.000000000000009992e-01,1.662405659541949987e+01,5.197320114376400113e+01,6.777767816448399572e+02
7.500000000000019984e-01,1.717153336108109940e+01,5.160957181379669834e+01,6.982865120107890107e+02
1.000000000000000000e+00,1.765957772213939947e+01,5.037241989053460145e+01,6.847111717057280202e+02
1.250000000000000000e+00,1.806573586916800167e+01,4.877141105157600265e+01,6.629674260681609894e+02
1.500000000000000000e+00,1.838024471262049886e+01,4.707986991103520324e+01,6.453163100803690213e+02
1.750000000000000000e+00,1.860202006880070158e+01,4.550455129380159747e+01,6.348908133136250171e+02
2.000000000000000000e+00,1.886366762299439870e+01,4.412320830386180148e+01,6.318356329480900513e+02
2.250000000000000000e+00,1.906073987278019999e+01,4.301075194924950296e+01,6.345396344735479488e+02
2.500000000000000000e+00,1.921151124973329871e+01,4.209314983699560031e+01,6.426110799042719464e+02
2.750000000000010214e+00,1.933207884173879876e+01,4.137719259594310017e+01,6.541085365619489949e+02
3.000000000000010214e+00,1.942775041319999829e+01,4.083408714440560061e+01,6.677534953666370257e+02
3.250000000000010214e+00,1.950549119594329994e+01,4.042115186418899953e+01,6.824696090431619950e+02
3.500000000000010214e+00,1.957032733923319867e+01,4.010452780729220024e+01,6.973345979499999885e+02
3.750000000000010214e+00,1.962507796845670072e+01,3.985939803672820148e+01,7.116150390950549536e+02
4.000000000000009770e+00,1.967252322971869916e+01,3.966513060475649866e+01,7.246986448260649922e+02
4.250000000000009770e+00,1.971467300712509996e+01,3.950628745824629817e+01,7.362268137703119919e+02
4.500000000000009770e+00,1.975295653728819900e+01,3.937171438427500192e+01,7.460352971248289577e+02
4.750000000000009770e+00,1.978836369130450024e+01,3.925368451675419834e+01,7.541019343850280165e+02
5.000000000000009770e+00,1.982155391794870170e+01,3.914713453776379737e+01,7.605030772712450471e+02
5.250000000000009770e+00,1.985267881144600111e+01,3.904987709257689943e+01,7.654022210536960529e+02
5.500000000000009770e+00,1.988135144831030132e+01,3.896242021781949916e+01,7.690312931104880363e+02
5.750000000000009770e+00,1.990724132160060122e+01,3.888558276167100303e+01,7.716078718219230268e+02
6.000000000000020428e+00,1.992992131831179847e+01,3.882055026405060261e+01,7.733148890378489568e+02
6.250000000000020428e+00,1.994885218774239988e+01,3.876933592630270198e+01,7.743247815989759602e+02
6.500000000000020428e+00,1.996295683438210133e+01,3.873584881929910040e+01,7.748545854894910008e+02
6.750000000000020428e+00,1.997164169426829972e+01,3.872251661763070274e+01,7.750666437574559495e+02
7.000000000000020428e+00,1.997465782206889884e+01,3.873054145919839897e+01,7.750768605683849728e+02
7.250000000000020428e+00,1.997204426839099867e+01,3.876000419437969668e+01,7.749598136459529769e+02
7.500000000000020428e+00,1.996410279129980125e+01,3.880992483868519827e+01,7.747532585091549890e+02
