Time,evapo temperature,evapo relative humidity,compressor power
0.000000000000000000e+00,1.550396339301270032e+01,4.773373558233399905e+01,4.539785060749160266e+02
2.500000000000009992e-01,1.605550947251359872e+01,4.823776771552920195e+01,5.963390982389810233e+02
5.000000000000009992e-01,1.656849526939240036e+01,4.694326394478770226e+01,6.493600179111269881e+02
7.500000000000019984e-01,1.706640342886660022e+01,4.504624932858320108e+01,6.591997502948170222e+02
1.000000000000000000e+00,1.751827248224680034e+01,4.292594941075930137e+01,6.383471477249960344e+02
1.250000000000000000e+00,1.786292408235290097e+01,4.089608660423699860e+01,6.130021600186320256e+02
1.500000000000000000e+00,1.831187786093660108e+01,3.909078229053329778e+01,5.884387927230819741e+02
1.750000000000000000e+00,1.865687436314319925e+01,3.758814429160120341e+01,5.676885756374180119e+02
2.000000000000000000e+00,1.890417543656149846e+01,3.643189293707259679e+01,5.509419839271289447e+02
2.250000000000000000e+00,1.907242626679009945e+01,3.558084027425879725e+01,5.388701801455739542e+02
2.500000000000000000e+00,1.917708513319760044e+01,3.499597097635979992e+01,5.312761045517839875e+02
2.750000000000010214e+00,1.922893549140519909e+01,3.468495716172869692e+01,5.293655889784309920e+02
3.000000000000010214e+00,1.924124353639080098e+01,3.454761839314849681e+01,5.303996976205149849e+02
3.250000000000010214e+00,1.922396165035430116e+01,3.452589788858090003e+01,5.329703682173179686e+02
3.500000000000010214e+00,1.918573710529109988e+01,3.458711906225060062e+01,5.366448976472549930e+02
3.750000000000010214e+00,1.913368565610669947e+01,3.470299727813890200e+01,5.410514505394489788e+02
4.000000000000009770e+00,1.906857911813969864e+01,3.487140575935689668e+01,5.455009971529000268e+02
4.250000000000009770e+00,1.899383695629209967e+01,3.507798241146330298e+01,5.496873435080619856e+02
4.500000000000009770e+00,1.891217524372930114e+01,3.531109939623320315e+01,5.534005380856259535e+02
4.750000000000009770e+00,1.882575685234289864e+01,3.556147861519580289e+01,5.565144711568940465e+02
5.000000000000009770e+00,1.873630649125490066e+01,3.582183975825120115e+01,5.589715832318850062e+02
5.250000000000009770e+00,1.864519877964369954e+01,3.608658062330089678e+01,5.607671711165049828e+02
5.500000000000009770e+00,1.855352605866439930e+01,3.635148960977449661e+01,5.619347709099120038e+02
5.750000000000009770e+00,1.846215118821029932e+01,3.661349014232369825e+01,5.625334056915919518e+02
6.000000000000020428e+00,1.837174928729119827e+01,3.687041642548530263e+01,5.626370244436709527e+02
6.250000000000020428e+00,1.828284131744279861e+01,3.712081947855860165e+01,5.623261626390060428e+02
6.500000000000020428e+00,1.819582157977400172e+01,3.736380193772370006e+01,5.616816755810419863e+02
6.750000000000020428e+00,1.811098057450080034e+01,3.759887969843539679e+01,5.607802975048640519e+02
7.000000000000020428e+00,1.802852422280690092e+01,3.782586814130819874e+01,5.596917366883069462e+02
7.250000000000020428e+00,1.794859013847310081e+01,3.804479045662679937e+01,5.584770105051500195e+02
7.500000000000020428e+00,1.787122089413169945e+01,3.824807408296930333e+01,5.570933978229400054e+02
7.750000000000020428e+00,1.779645173715299933e+01,3.843500002813580352e+01,5.555714394868230102e+02
8.000000000000019540e+00,1.772433823076519843e+01,3.861506368927980049e+01,5.540569520267140433e+02
8.250000000000019540e+00,1.765614390518949861e+01,3.878200969189209957e+01,5.527224118926880010e+02
8.500000000000019540e+00,1.759429483305400055e+01,3.892447035532949684e+01,5.517728843136289925e+02
8.750000000000019540e+00,1.753916971551170079e+01,3.904260579772829942e+01,5.510406022173179963e+02
9.000000000000019540e+00,1.749079841684210024e+01,3.913725837068110280e+01,5.504019528266550196e+02
9.250000000000019540e+00,1.744901849823260065e+01,3.920964500061040070e+01,5.497701280121780201e+02
9.500000000000019540e+00,1.741355150447330047e+01,3.926121650277890041e+01,5.490880829322669570e+02
9.750000000000019540e+00,1.738404630032230003e+01,3.929525905754729820e+01,5.482966599422579748e+02
1.000000000000000000e+01,1.735993420570110146e+01,3.931702840709780133e+01,5.473592807574290191e+02
1.025000000000000000e+01,1.734006657910559923e+01,3.932951553670969957e+01,5.463922046284450289e+02
1.050000000000000000e+01,1.732123416652089887e+01,3.933308749818530003e+01,5.441722109394499967e+02
1.075000000000000000e+01,1.730145672786019873e+01,3.933301588937749926e+01,5.405173740265810238e+02
1.100000000000000000e+01,1.728011452358990141e+01,3.933201038268369842e+01,5.357097668436399545e+02
1.125000000000000000e+01,1.725665316721499920e+01,3.933280025942020330e+01,5.300284834147900028e+02
1.150000000000000000e+01,1.723083498122240087e+01,3.933768255672300285e+01,5.239765053516380249e+02
1.175000000000000000e+01,1.720267069078470001e+01,3.934855474773640083e+01,5.181981469258929565e+02
1.200000000000000000e+01,1.717107193836499945e+01,3.936895222304080022e+01,5.121640156283959868e+02
